# 四川电信 IP速度测试结果 - 有效IP 8/10
# 测试时间: 2025-11-26 12:47:01
# IP:端口 速度 连接时间(ms)
175.152.138.162:6066 501.7KB/s (ping:222ms)
171.213.161.67:9100 333.6KB/s (ping:218ms)
171.213.139.212:9999 295.1KB/s (ping:224ms)
171.213.227.46:8888 254.7KB/s (ping:219ms)
171.213.129.36:82 140.7KB/s (ping:221ms)
171.213.194.178:4000 138.9KB/s (ping:226ms)
171.213.201.82:8888 132.8KB/s (ping:218ms)
171.213.201.87:8888 120.1KB/s (ping:223ms)

# 失败统计 (2个):
# 222.214.178.128:8888 - 不可用
# 171.91.135.123:8888 - 链接错误
